Sales Person,Country,Product,Date,Amount,Boxes Shipped,Price per box,Month,Year,Month-Year,Sales Category,Sales Perfomrance,Region
Dotty Strutley,India,White Choc,8/15/2022,12327,330,37.35454545,Aug,2022,Aug-2022,High,High Performer,Asia
Gigi Bohling,India,Manuka Honey Choco,5/12/2022,4935,73,67.60273973,May,2022,May-2022,Low,Standard,Asia
Van Tuxwell,India,Spicy Special Slims,4/11/2022,6167,4,1541.75,Apr,2022,Apr-2022,Meduim,Standard,Asia
Jan Morforth,New Zealand,Mint Chip Choco,6/30/2022,18340,285,64.35087719,Jun,2022,Jun-2022,High,High Performer,Others
Dotty Strutley,New Zealand,White Choc,6/15/2022,7014,60,116.9,Jun,2022,Jun-2022,Meduim,Standard,Others
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,8/1/2022,7119,101,70.48514851,Aug,2022,Aug-2022,Meduim,Standard,Others
Kaine Padly,USA,Milk Bars,6/15/2022,15491,58,267.0862069,Jun,2022,Jun-2022,High,High Performer,Others
Brien Boise,India,After Nines,6/16/2022,5747,45,127.7111111,Jun,2022,Jun-2022,Meduim,Standard,Asia
Oby Sorrel,New Zealand,Raspberry Choco,5/13/2022,4550,281,16.19217082,May,2022,May-2022,Low,Standard,Others
Dennison Crosswaite,USA,Drinking Coco,5/10/2022,2191,138,15.87681159,May,2022,May-2022,Low,Standard,Others
Oby Sorrel,India,Eclairs,8/25/2022,5663,322,17.58695652,Aug,2022,Aug-2022,Meduim,Standard,Asia
Ches Bonnell,New Zealand,Organic Choco Syrup,7/15/2022,7623,85,89.68235294,Jul,2022,Jul-2022,Meduim,Standard,Others
Gigi Bohling,UK,Baker's Choco Chips,5/16/2022,9023,409,22.06112469,May,2022,May-2022,Meduim,Standard,Europe
Jan Morforth,Australia,50% Dark Bites,6/14/2022,3402,182,18.69230769,Jun,2022,Jun-2022,Low,Standard,Oceania
Beverie Moffet,Australia,Smooth Sliky Salty,1/25/2022,10507,467,22.49892934,Jan,2022,Jan-2022,High,High Performer,Oceania
Ches Bonnell,USA,Organic Choco Syrup,7/28/2022,7721,14,551.5,Jul,2022,Jul-2022,Meduim,Standard,Others
Brien Boise,Canada,Mint Chip Choco,1/28/2022,5033,178,28.2752809,Jan,2022,Jan-2022,Meduim,Standard,Others
Kaine Padly,UK,Orange Choco,6/29/2022,1960,191,10.2617801,Jun,2022,Jun-2022,Low,Standard,Europe
Karlen McCaffrey,Australia,70% Dark Bites,6/24/2022,238,317,0.750788644,Jun,2022,Jun-2022,Low,Standard,Oceania
Gunar Cockshoot,Canada,Mint Chip Choco,7/1/2022,7756,410,18.91707317,Jul,2022,Jul-2022,Meduim,Standard,Others
Roddy Speechley,USA,Peanut Butter Cubes,2/25/2022,1736,137,12.67153285,Feb,2022,Feb-2022,Low,Standard,Others
Curtice Advani,Canada,Smooth Sliky Salty,8/1/2022,2660,12,221.6666667,Aug,2022,Aug-2022,Low,Standard,Others
Oby Sorrel,Australia,Milk Bars,6/21/2022,7672,254,30.20472441,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Camilla Castle,New Zealand,Spicy Special Slims,1/25/2022,11564,24,481.8333333,Jan,2022,Jan-2022,High,High Performer,Others
Gigi Bohling,UK,Milk Bars,5/17/2022,1365,232,5.88362069,May,2022,May-2022,Low,Standard,Europe
Andria Kimpton,Australia,85% Dark Bars,8/23/2022,4186,233,17.96566524,Aug,2022,Aug-2022,Low,Standard,Oceania
Camilla Castle,Australia,Smooth Sliky Salty,3/3/2022,7406,118,62.76271186,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Roddy Speechley,India,Caramel Stuffed Bars,5/30/2022,8911,543,16.4106814,May,2022,May-2022,Meduim,Standard,Asia
Karlen McCaffrey,USA,Drinking Coco,6/29/2022,112,223,0.502242152,Jun,2022,Jun-2022,Low,Standard,Others
Andria Kimpton,Canada,Organic Choco Syrup,1/4/2022,8204,204,40.21568627,Jan,2022,Jan-2022,Meduim,Standard,Others
Jehu Rudeforth,Australia,Drinking Coco,1/14/2022,2611,65,40.16923077,Jan,2022,Jan-2022,Low,Standard,Oceania
Karlen McCaffrey,USA,Mint Chip Choco,2/15/2022,15652,53,295.3207547,Feb,2022,Feb-2022,High,High Performer,Others
Curtice Advani,New Zealand,Spicy Special Slims,1/10/2022,4074,469,8.686567164,Jan,2022,Jan-2022,Low,Standard,Others
Madelene Upcott,USA,White Choc,5/4/2022,12250,213,57.51173709,May,2022,May-2022,High,High Performer,Others
Andria Kimpton,USA,Spicy Special Slims,5/23/2022,2366,5,473.2,May,2022,May-2022,Low,Standard,Others
Barr Faughny,New Zealand,Fruit & Nut Bars,4/26/2022,1687,147,11.47619048,Apr,2022,Apr-2022,Low,Standard,Others
Oby Sorrel,Canada,Organic Choco Syrup,7/5/2022,1232,74,16.64864865,Jul,2022,Jul-2022,Low,Standard,Others
Madelene Upcott,UK,Organic Choco Syrup,7/21/2022,6965,163,42.73006135,Jul,2022,Jul-2022,Meduim,Standard,Europe
Dotty Strutley,USA,Mint Chip Choco,2/21/2022,5292,248,21.33870968,Feb,2022,Feb-2022,Meduim,Standard,Others
Kelci Walkden,USA,Orange Choco,2/3/2022,1379,138,9.992753623,Feb,2022,Feb-2022,Low,Standard,Others
Gigi Bohling,Australia,Caramel Stuffed Bars,7/8/2022,8001,151,52.98675497,Jul,2022,Jul-2022,Meduim,Standard,Oceania
Mallorie Waber,India,50% Dark Bites,5/31/2022,588,139,4.230215827,May,2022,May-2022,Low,Standard,Asia
Van Tuxwell,New Zealand,Mint Chip Choco,6/27/2022,4046,103,39.2815534,Jun,2022,Jun-2022,Low,Standard,Others
Van Tuxwell,India,50% Dark Bites,5/13/2022,5103,129,39.55813953,May,2022,May-2022,Meduim,Standard,Asia
Van Tuxwell,USA,Manuka Honey Choco,5/31/2022,2317,102,22.71568627,May,2022,May-2022,Low,Standard,Others
Wilone O'Kielt,USA,Orange Choco,2/28/2022,7042,37,190.3243243,Feb,2022,Feb-2022,Meduim,Standard,Others
Barr Faughny,New Zealand,Eclairs,3/28/2022,6713,31,216.5483871,Mar,2022,Mar-2022,Meduim,Standard,Others
Gigi Bohling,USA,After Nines,1/14/2022,1848,227,8.140969163,Jan,2022,Jan-2022,Low,Standard,Others
Barr Faughny,New Zealand,Mint Chip Choco,2/21/2022,6440,145,44.4137931,Feb,2022,Feb-2022,Meduim,Standard,Others
Dennison Crosswaite,Canada,85% Dark Bars,8/1/2022,10885,90,120.9444444,Aug,2022,Aug-2022,High,High Performer,Others
Beverie Moffet,New Zealand,Smooth Sliky Salty,5/19/2022,2387,59,40.45762712,May,2022,May-2022,Low,Standard,Others
Husein Augar,USA,White Choc,7/13/2022,2030,60,33.83333333,Jul,2022,Jul-2022,Low,Standard,Others
Andria Kimpton,Australia,Peanut Butter Cubes,4/20/2022,6678,148,45.12162162,Apr,2022,Apr-2022,Meduim,Standard,Oceania
Dennison Crosswaite,India,85% Dark Bars,6/30/2022,4515,22,205.2272727,Jun,2022,Jun-2022,Low,Standard,Asia
Curtice Advani,UK,50% Dark Bites,3/8/2022,3374,142,23.76056338,Mar,2022,Mar-2022,Low,Standard,Europe
Gunar Cockshoot,USA,Fruit & Nut Bars,3/9/2022,5852,93,62.92473118,Mar,2022,Mar-2022,Meduim,Standard,Others
Oby Sorrel,Canada,Raspberry Choco,6/16/2022,1750,208,8.413461538,Jun,2022,Jun-2022,Low,Standard,Others
Gigi Bohling,UK,Drinking Coco,6/30/2022,5782,42,137.6666667,Jun,2022,Jun-2022,Meduim,Standard,Europe
Kelci Walkden,India,Mint Chip Choco,7/28/2022,2870,120,23.91666667,Jul,2022,Jul-2022,Low,Standard,Asia
Karlen McCaffrey,Canada,Peanut Butter Cubes,8/12/2022,3094,159,19.4591195,Aug,2022,Aug-2022,Low,Standard,Others
Barr Faughny,UK,Mint Chip Choco,7/7/2022,3724,316,11.78481013,Jul,2022,Jul-2022,Low,Standard,Europe
Barr Faughny,USA,85% Dark Bars,8/25/2022,12761,47,271.5106383,Aug,2022,Aug-2022,High,High Performer,Others
Husein Augar,Canada,Eclairs,1/17/2022,3696,233,15.86266094,Jan,2022,Jan-2022,Low,Standard,Others
Jan Morforth,Australia,70% Dark Bites,3/4/2022,5222,384,13.59895833,Mar,2022,Mar-2022,Meduim,Standard,Oceania
Marney O'Breen,New Zealand,Fruit & Nut Bars,8/25/2022,8939,4,2234.75,Aug,2022,Aug-2022,Meduim,Standard,Others
Ches Bonnell,UK,Peanut Butter Cubes,4/15/2022,2156,260,8.292307692,Apr,2022,Apr-2022,Low,Standard,Europe
Kaine Padly,USA,Organic Choco Syrup,3/11/2022,2380,22,108.1818182,Mar,2022,Mar-2022,Low,Standard,Others
Camilla Castle,USA,Raspberry Choco,5/20/2022,3339,18,185.5,May,2022,May-2022,Low,Standard,Others
Brien Boise,New Zealand,Manuka Honey Choco,6/14/2022,14980,42,356.6666667,Jun,2022,Jun-2022,High,High Performer,Others
Jehu Rudeforth,New Zealand,After Nines,4/14/2022,1512,73,20.71232877,Apr,2022,Apr-2022,Low,Standard,Others
Jehu Rudeforth,USA,Smooth Sliky Salty,7/7/2022,6657,154,43.22727273,Jul,2022,Jul-2022,Meduim,Standard,Others
Madelene Upcott,India,Mint Chip Choco,8/24/2022,3836,71,54.02816901,Aug,2022,Aug-2022,Low,Standard,Asia
Jehu Rudeforth,India,Eclairs,2/24/2022,8771,127,69.06299213,Feb,2022,Feb-2022,Meduim,Standard,Asia
Karlen McCaffrey,Canada,Raspberry Choco,5/9/2022,651,224,2.90625,May,2022,May-2022,Low,Standard,Others
Kaine Padly,Australia,70% Dark Bites,2/8/2022,6706,223,30.07174888,Feb,2022,Feb-2022,Meduim,Standard,Oceania
Roddy Speechley,UK,70% Dark Bites,3/24/2022,1421,284,5.003521127,Mar,2022,Mar-2022,Low,Standard,Europe
Rafaelita Blaksland,USA,Drinking Coco,6/20/2022,8526,73,116.7945205,Jun,2022,Jun-2022,Meduim,Standard,Others
Mallorie Waber,Canada,Manuka Honey Choco,3/7/2022,1435,112,12.8125,Mar,2022,Mar-2022,Low,Standard,Others
Kaine Padly,Australia,Fruit & Nut Bars,6/20/2022,7434,85,87.45882353,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Oby Sorrel,New Zealand,Organic Choco Syrup,2/17/2022,15316,270,56.72592593,Feb,2022,Feb-2022,High,High Performer,Others
Madelene Upcott,UK,99% Dark & Pure,1/26/2022,10479,45,232.8666667,Jan,2022,Jan-2022,High,High Performer,Europe
Madelene Upcott,Australia,Mint Chip Choco,5/2/2022,2751,153,17.98039216,May,2022,May-2022,Low,Standard,Oceania
Curtice Advani,Canada,99% Dark & Pure,7/7/2022,12586,7,1798,Jul,2022,Jul-2022,High,High Performer,Others
Rafaelita Blaksland,Australia,Baker's Choco Chips,8/22/2022,2786,51,54.62745098,Aug,2022,Aug-2022,Low,Standard,Oceania
Karlen McCaffrey,Australia,After Nines,8/11/2022,2303,67,34.37313433,Aug,2022,Aug-2022,Low,Standard,Oceania
Marney O'Breen,UK,99% Dark & Pure,1/13/2022,8113,194,41.81958763,Jan,2022,Jan-2022,Meduim,Standard,Europe
Gunar Cockshoot,Australia,50% Dark Bites,3/2/2022,12271,116,105.7844828,Mar,2022,Mar-2022,High,High Performer,Oceania
Marney O'Breen,Australia,Choco Coated Almonds,7/27/2022,11298,41,275.5609756,Jul,2022,Jul-2022,High,High Performer,Oceania
Kelci Walkden,New Zealand,Drinking Coco,3/10/2022,15855,111,142.8378378,Mar,2022,Mar-2022,High,High Performer,Others
Beverie Moffet,USA,85% Dark Bars,8/23/2022,12404,334,37.13772455,Aug,2022,Aug-2022,High,High Performer,Others
Roddy Speechley,USA,Eclairs,4/25/2022,3990,155,25.74193548,Apr,2022,Apr-2022,Low,Standard,Others
Dennison Crosswaite,UK,Milk Bars,3/7/2022,10808,407,26.55528256,Mar,2022,Mar-2022,High,High Performer,Europe
Wilone O'Kielt,UK,Organic Choco Syrup,7/12/2022,4858,52,93.42307692,Jul,2022,Jul-2022,Low,Standard,Europe
Madelene Upcott,USA,Orange Choco,5/16/2022,7742,138,56.10144928,May,2022,May-2022,Meduim,Standard,Others
Gunar Cockshoot,India,Smooth Sliky Salty,3/2/2022,3752,70,53.6,Mar,2022,Mar-2022,Low,Standard,Asia
Marney O'Breen,New Zealand,85% Dark Bars,5/30/2022,1218,149,8.174496644,May,2022,May-2022,Low,Standard,Others
Marney O'Breen,UK,Manuka Honey Choco,6/10/2022,10983,179,61.3575419,Jun,2022,Jun-2022,High,High Performer,Europe
Brien Boise,USA,99% Dark & Pure,7/25/2022,6769,353,19.17563739,Jul,2022,Jul-2022,Meduim,Standard,Others
Beverie Moffet,New Zealand,Mint Chip Choco,6/9/2022,4361,97,44.95876289,Jun,2022,Jun-2022,Low,Standard,Others
Dennison Crosswaite,USA,Milk Bars,5/12/2022,777,60,12.95,May,2022,May-2022,Low,Standard,Others
Gunar Cockshoot,USA,Drinking Coco,5/9/2022,3843,5,768.6,May,2022,May-2022,Low,Standard,Others
Brien Boise,Canada,Manuka Honey Choco,8/9/2022,6930,182,38.07692308,Aug,2022,Aug-2022,Meduim,Standard,Others
Van Tuxwell,India,Choco Coated Almonds,4/13/2022,5733,114,50.28947368,Apr,2022,Apr-2022,Meduim,Standard,Asia
Andria Kimpton,USA,Caramel Stuffed Bars,5/2/2022,8393,46,182.4565217,May,2022,May-2022,Meduim,Standard,Others
Dotty Strutley,USA,99% Dark & Pure,8/9/2022,3822,320,11.94375,Aug,2022,Aug-2022,Low,Standard,Others
Camilla Castle,Australia,Raspberry Choco,8/23/2022,6342,178,35.62921348,Aug,2022,Aug-2022,Meduim,Standard,Oceania
Gunar Cockshoot,India,Spicy Special Slims,5/13/2022,6510,170,38.29411765,May,2022,May-2022,Meduim,Standard,Asia
Karlen McCaffrey,USA,Manuka Honey Choco,2/1/2022,10171,67,151.8059701,Feb,2022,Feb-2022,High,High Performer,Others
Camilla Castle,USA,50% Dark Bites,6/23/2022,5908,301,19.62790698,Jun,2022,Jun-2022,Meduim,Standard,Others
Madelene Upcott,UK,Choco Coated Almonds,5/24/2022,10164,134,75.85074627,May,2022,May-2022,High,High Performer,Europe
Jan Morforth,Canada,Mint Chip Choco,4/1/2022,1064,211,5.042654028,Apr,2022,Apr-2022,Low,Standard,Others
Camilla Castle,Canada,70% Dark Bites,7/27/2022,9716,151,64.34437086,Jul,2022,Jul-2022,Meduim,Standard,Others
Ches Bonnell,India,Peanut Butter Cubes,1/27/2022,22050,208,106.0096154,Jan,2022,Jan-2022,High,High Performer,Asia
Jan Morforth,India,Choco Coated Almonds,8/12/2022,2541,134,18.96268657,Aug,2022,Aug-2022,Low,Standard,Asia
Gigi Bohling,Canada,Almond Choco,2/1/2022,9989,49,203.8571429,Feb,2022,Feb-2022,Meduim,Standard,Others
Rafaelita Blaksland,India,After Nines,3/2/2022,4739,204,23.23039216,Mar,2022,Mar-2022,Low,Standard,Asia
Kelci Walkden,Australia,99% Dark & Pure,6/30/2022,3185,34,93.67647059,Jun,2022,Jun-2022,Low,Standard,Oceania
Dotty Strutley,Australia,Spicy Special Slims,1/17/2022,8225,91,90.38461538,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Brien Boise,USA,Milk Bars,7/7/2022,14301,130,110.0076923,Jul,2022,Jul-2022,High,High Performer,Others
Mallorie Waber,New Zealand,Mint Chip Choco,1/31/2022,1316,107,12.29906542,Jan,2022,Jan-2022,Low,Standard,Others
Beverie Moffet,UK,99% Dark & Pure,8/10/2022,3486,121,28.80991736,Aug,2022,Aug-2022,Low,Standard,Europe
Beverie Moffet,USA,Peanut Butter Cubes,8/18/2022,13930,339,41.09144543,Aug,2022,Aug-2022,High,High Performer,Others
Brien Boise,New Zealand,White Choc,6/15/2022,5509,321,17.16199377,Jun,2022,Jun-2022,Meduim,Standard,Others
Marney O'Breen,USA,Baker's Choco Chips,1/26/2022,8470,9,941.1111111,Jan,2022,Jan-2022,Meduim,Standard,Others
Kelci Walkden,USA,Spicy Special Slims,4/29/2022,77,69,1.115942029,Apr,2022,Apr-2022,Low,Standard,Others
Mallorie Waber,Canada,White Choc,3/3/2022,3381,72,46.95833333,Mar,2022,Mar-2022,Low,Standard,Others
Kaine Padly,Australia,Almond Choco,2/22/2022,4102,392,10.46428571,Feb,2022,Feb-2022,Low,Standard,Oceania
Oby Sorrel,USA,Smooth Sliky Salty,3/4/2022,3577,158,22.63924051,Mar,2022,Mar-2022,Low,Standard,Others
Dennison Crosswaite,India,Smooth Sliky Salty,7/7/2022,2975,9,330.5555556,Jul,2022,Jul-2022,Low,Standard,Asia
Camilla Castle,New Zealand,Caramel Stuffed Bars,6/17/2022,4137,347,11.9221902,Jun,2022,Jun-2022,Low,Standard,Others
Jan Morforth,Canada,Caramel Stuffed Bars,8/2/2022,9541,114,83.69298246,Aug,2022,Aug-2022,Meduim,Standard,Others
Oby Sorrel,USA,Baker's Choco Chips,8/12/2022,8001,120,66.675,Aug,2022,Aug-2022,Meduim,Standard,Others
Madelene Upcott,New Zealand,Peanut Butter Cubes,1/28/2022,5152,333,15.47147147,Jan,2022,Jan-2022,Meduim,Standard,Others
Kelci Walkden,Australia,Orange Choco,4/29/2022,11116,432,25.73148148,Apr,2022,Apr-2022,High,High Performer,Oceania
Marney O'Breen,Australia,Manuka Honey Choco,4/5/2022,13076,236,55.40677966,Apr,2022,Apr-2022,High,High Performer,Oceania
Kaine Padly,Canada,Manuka Honey Choco,1/18/2022,10213,135,75.65185185,Jan,2022,Jan-2022,High,High Performer,Others
Jehu Rudeforth,UK,Baker's Choco Chips,5/16/2022,2485,97,25.6185567,May,2022,May-2022,Low,Standard,Europe
Kelci Walkden,Australia,White Choc,8/24/2022,8715,168,51.875,Aug,2022,Aug-2022,Meduim,Standard,Oceania
Curtice Advani,India,85% Dark Bars,1/18/2022,273,402,0.679104478,Jan,2022,Jan-2022,Low,Standard,Asia
Kaine Padly,USA,Eclairs,8/22/2022,7623,10,762.3,Aug,2022,Aug-2022,Meduim,Standard,Others
Gunar Cockshoot,UK,99% Dark & Pure,3/7/2022,7,84,0.083333333,Mar,2022,Mar-2022,Low,Standard,Europe
Beverie Moffet,UK,Choco Coated Almonds,3/4/2022,3010,69,43.62318841,Mar,2022,Mar-2022,Low,Standard,Europe
Dotty Strutley,Canada,Manuka Honey Choco,4/22/2022,11550,111,104.0540541,Apr,2022,Apr-2022,High,High Performer,Others
Kaine Padly,Australia,Milk Bars,6/9/2022,4046,89,45.46067416,Jun,2022,Jun-2022,Low,Standard,Oceania
Jan Morforth,Canada,Fruit & Nut Bars,7/25/2022,8904,199,44.74371859,Jul,2022,Jul-2022,Meduim,Standard,Others
Jan Morforth,India,Smooth Sliky Salty,8/3/2022,11298,89,126.9438202,Aug,2022,Aug-2022,High,High Performer,Asia
Rafaelita Blaksland,Australia,Manuka Honey Choco,8/3/2022,4396,131,33.55725191,Aug,2022,Aug-2022,Low,Standard,Oceania
Jehu Rudeforth,UK,Milk Bars,5/3/2022,12068,227,53.16299559,May,2022,May-2022,High,High Performer,Europe
Husein Augar,Canada,After Nines,1/19/2022,9772,301,32.46511628,Jan,2022,Jan-2022,Meduim,Standard,Others
Roddy Speechley,USA,50% Dark Bites,2/11/2022,10458,316,33.09493671,Feb,2022,Feb-2022,High,High Performer,Others
Van Tuxwell,India,Almond Choco,6/14/2022,6426,390,16.47692308,Jun,2022,Jun-2022,Meduim,Standard,Asia
Kelci Walkden,USA,50% Dark Bites,3/23/2022,6188,223,27.74887892,Mar,2022,Mar-2022,Meduim,Standard,Others
Madelene Upcott,Canada,85% Dark Bars,2/17/2022,7504,101,74.2970297,Feb,2022,Feb-2022,Meduim,Standard,Others
Dennison Crosswaite,Canada,Smooth Sliky Salty,3/17/2022,1750,479,3.653444676,Mar,2022,Mar-2022,Low,Standard,Others
Mallorie Waber,Australia,Spicy Special Slims,6/29/2022,5439,287,18.95121951,Jun,2022,Jun-2022,Meduim,Standard,Oceania
Ches Bonnell,Canada,Choco Coated Almonds,8/24/2022,15547,269,57.79553903,Aug,2022,Aug-2022,High,High Performer,Others
Gigi Bohling,Canada,Spicy Special Slims,7/4/2022,11956,277,43.16245487,Jul,2022,Jul-2022,High,High Performer,Others
Roddy Speechley,New Zealand,Almond Choco,3/28/2022,2723,67,40.64179104,Mar,2022,Mar-2022,Low,Standard,Others
Curtice Advani,India,Smooth Sliky Salty,4/19/2022,19327,135,143.162963,Apr,2022,Apr-2022,High,High Performer,Asia
Ches Bonnell,New Zealand,Mint Chip Choco,1/18/2022,9058,229,39.55458515,Jan,2022,Jan-2022,Meduim,Standard,Others
Van Tuxwell,New Zealand,Fruit & Nut Bars,1/17/2022,2996,88,34.04545455,Jan,2022,Jan-2022,Low,Standard,Others
Andria Kimpton,New Zealand,Mint Chip Choco,2/15/2022,8848,211,41.93364929,Feb,2022,Feb-2022,Meduim,Standard,Others
Andria Kimpton,UK,Milk Bars,2/11/2022,14336,293,48.92832765,Feb,2022,Feb-2022,High,High Performer,Europe
Camilla Castle,USA,Manuka Honey Choco,3/21/2022,16401,179,91.62569832,Mar,2022,Mar-2022,High,High Performer,Others
Gunar Cockshoot,New Zealand,Almond Choco,1/5/2022,5173,129,40.10077519,Jan,2022,Jan-2022,Meduim,Standard,Others
Brien Boise,India,Raspberry Choco,5/30/2022,6328,164,38.58536585,May,2022,May-2022,Meduim,Standard,Asia
Jehu Rudeforth,USA,99% Dark & Pure,1/4/2022,2534,219,11.57077626,Jan,2022,Jan-2022,Low,Standard,Others
Beverie Moffet,Australia,Fruit & Nut Bars,4/22/2022,1435,258,5.562015504,Apr,2022,Apr-2022,Low,Standard,Oceania
Gigi Bohling,Canada,Milk Bars,2/10/2022,3052,116,26.31034483,Feb,2022,Feb-2022,Low,Standard,Others
Dotty Strutley,India,Spicy Special Slims,8/12/2022,910,204,4.460784314,Aug,2022,Aug-2022,Low,Standard,Asia
Gunar Cockshoot,USA,Organic Choco Syrup,8/10/2022,2331,321,7.261682243,Aug,2022,Aug-2022,Low,Standard,Others
Kelci Walkden,Australia,Raspberry Choco,6/7/2022,679,56,12.125,Jun,2022,Jun-2022,Low,Standard,Oceania
Jehu Rudeforth,India,Baker's Choco Chips,6/6/2022,2086,74,28.18918919,Jun,2022,Jun-2022,Low,Standard,Asia
Karlen McCaffrey,New Zealand,Baker's Choco Chips,4/5/2022,5012,189,26.51851852,Apr,2022,Apr-2022,Meduim,Standard,Others
Wilone O'Kielt,USA,50% Dark Bites,4/18/2022,4501,131,34.35877863,Apr,2022,Apr-2022,Low,Standard,Others
Andria Kimpton,India,50% Dark Bites,1/31/2022,13482,15,898.8,Jan,2022,Jan-2022,High,High Performer,Asia
Madelene Upcott,USA,Baker's Choco Chips,8/22/2022,5621,140,40.15,Aug,2022,Aug-2022,Meduim,Standard,Others
Jehu Rudeforth,Australia,99% Dark & Pure,2/25/2022,10486,198,52.95959596,Feb,2022,Feb-2022,High,High Performer,Oceania
Jan Morforth,Australia,Mint Chip Choco,2/22/2022,17626,103,171.1262136,Feb,2022,Feb-2022,High,High Performer,Oceania
Oby Sorrel,New Zealand,Milk Bars,1/12/2022,4494,187,24.03208556,Jan,2022,Jan-2022,Low,Standard,Others
Brien Boise,UK,Almond Choco,5/25/2022,105,125,0.84,May,2022,May-2022,Low,Standard,Europe
Kelci Walkden,India,Smooth Sliky Salty,2/1/2022,2464,8,308,Feb,2022,Feb-2022,Low,Standard,Asia
Rafaelita Blaksland,UK,Eclairs,4/27/2022,1379,70,19.7,Apr,2022,Apr-2022,Low,Standard,Europe
Gigi Bohling,USA,Smooth Sliky Salty,7/22/2022,2583,126,20.5,Jul,2022,Jul-2022,Low,Standard,Others
Curtice Advani,New Zealand,Mint Chip Choco,1/26/2022,3220,265,12.1509434,Jan,2022,Jan-2022,Low,Standard,Others
Curtice Advani,USA,Mint Chip Choco,8/24/2022,4802,296,16.22297297,Aug,2022,Aug-2022,Low,Standard,Others
Madelene Upcott,New Zealand,Fruit & Nut Bars,1/18/2022,5677,21,270.3333333,Jan,2022,Jan-2022,Meduim,Standard,Others
Karlen McCaffrey,India,85% Dark Bars,3/30/2022,945,83,11.38554217,Mar,2022,Mar-2022,Low,Standard,Asia
Ches Bonnell,Australia,Caramel Stuffed Bars,1/17/2022,8757,162,54.05555556,Jan,2022,Jan-2022,Meduim,Standard,Oceania
Kelci Walkden,USA,Fruit & Nut Bars,2/17/2022,4816,145,33.2137931,Feb,2022,Feb-2022,Low,Standard,Others
Kelci Walkden,Canada,Peanut Butter Cubes,4/8/2022,7532,44,171.1818182,Apr,2022,Apr-2022,Meduim,Standard,Others
Gigi Bohling,Canada,Drinking Coco,7/6/2022,3549,82,43.2804878,Jul,2022,Jul-2022,Low,Standard,Others
Husein Augar,India,Fruit & Nut Bars,4/4/2022,4340,226,19.20353982,Apr,2022,Apr-2022,Low,Standard,Asia
Jan Morforth,New Zealand,Organic Choco Syrup,3/2/2022,1799,207,8.690821256,Mar,2022,Mar-2022,Low,Standard,Others
Gigi Bohling,New Zealand,Raspberry Choco,8/9/2022,1127,176,6.403409091,Aug,2022,Aug-2022,Low,Standard,Others
Dennison Crosswaite,Australia,Milk Bars,6/9/2022,10038,286,35.0979021,Jun,2022,Jun-2022,High,High Performer,Oceania
Ches Bonnell,UK,Caramel Stuffed Bars,6/2/2022,2926,300,9.753333333,Jun,2022,Jun-2022,Low,Standard,Europe
Van Tuxwell,USA,Fruit & Nut Bars,7/5/2022,6279,235,26.71914894,Jul,2022,Jul-2022,Meduim,Standard,Others
Andria Kimpton,Canada,Eclairs,8/11/2022,308,125,2.464,Aug,2022,Aug-2022,Low,Standard,Others
Madelene Upcott,India,Choco Coated Almonds,2/11/2022,3500,145,24.13793103,Feb,2022,Feb-2022,Low,Standard,Asia
Kelci Walkden,New Zealand,Spicy Special Slims,8/11/2022,658,65,10.12307692,Aug,2022,Aug-2022,Low,Standard,Others
Roddy Speechley,Australia,Drinking Coco,5/12/2022,12565,102,123.1862745,May,2022,May-2022,High,High Performer,Oceania
Wilone O'Kielt,USA,Milk Bars,7/15/2022,5012,93,53.89247312,Jul,2022,Jul-2022,Meduim,Standard,Others
Andria Kimpton,India,Organic Choco Syrup,1/18/2022,3955,134,29.51492537,Jan,2022,Jan-2022,Low,Standard,Asia
Madelene Upcott,UK,Fruit & Nut Bars,1/5/2022,8512,189,45.03703704,Jan,2022,Jan-2022,Meduim,Standard,Europe
Curtice Advani,Australia,50% Dark Bites,6/29/2022,504,232,2.172413793,Jun,2022,Jun-2022,Low,Standard,Oceania
Brien Boise,Canada,Raspberry Choco,6/14/2022,2800,45,62.22222222,Jun,2022,Jun-2022,Low,Standard,Others
Gunar Cockshoot,India,Mint Chip Choco,8/8/2022,4256,67,63.52238806,Aug,2022,Aug-2022,Low,Standard,Asia
Dennison Crosswaite,India,Mint Chip Choco,3/23/2022,13573,138,98.35507246,Mar,2022,Mar-2022,High,High Performer,Asia
Barr Faughny,India,Caramel Stuffed Bars,1/4/2022,6566,99,66.32323232,Jan,2022,Jan-2022,Meduim,Standard,Asia
Brien Boise,India,Milk Bars,2/22/2022,13503,251,53.79681275,Feb,2022,Feb-2022,High,High Performer,Asia
Beverie Moffet,UK,Spicy Special Slims,2/17/2022,8680,252,34.44444444,Feb,2022,Feb-2022,Meduim,Standard,Europe
Barr Faughny,USA,Almond Choco,2/3/2022,385,78,4.935897436,Feb,2022,Feb-2022,Low,Standard,Others
Van Tuxwell,Canada,Raspberry Choco,3/17/2022,1267,130,9.746153846,Mar,2022,Mar-2022,Low,Standard,Others
Wilone O'Kielt,Australia,Baker's Choco Chips,1/25/2022,2961,154,19.22727273,Jan,2022,Jan-2022,Low,Standard,Oceania
